ProductID,ProductName,Category,UnitPrice,StockQuantity,Supplier
2000,ELECTRONICS-BE,ELECTRONICS,969.31,145,GlobalMart
2001,ELECTRONICS-BE,CLOTHING,412.35,87,PrimeSource
2002,OFFICE-FAMILY,CLOTHING,866.0,230,SupplyHub
2003,ELECTRONICS-TRAINING,CLOTHING,385.18,54,EconoTrade
2004,OFFICE-WHERE,HOME,927.25,198,GlobalMart
2005,OFFICE-HUGE,HOME,428.78,76,QuickLine
2006,OFFICE-CLASS,CLOTHING,198.0,120,EverPro
2007,CLOTHING-OVER,ELECTRONICS,583.39,92,PrimeSource
2008,ELECTRONICS-SKIN,HOME,66.59,68,EconoTrade
2009,OFFICE-RAISE,CLOTHING,66.31,157,GlobalMart
2010,ELECTRONICS-THEMSELVES,CLOTHING,77.84,84,TopDeal
2011,ELECTRONICS-RELIGIOUS,CLOTHING,409.74,210,QuickLine
2012,CLOTHING-ARTIST,ELECTRONICS,623.19,33,EverPro
2013,OFFICE-CULTURAL,HOME,935.36,189,GlobalMart
2014,CLOTHING-EAT,HOME,246.3,55,SupplyHub
2015,OFFICE-ITSELF,CLOTHING,674.97,95,PrimeSource
2016,HOME-HE,OFFICE,323.02,140,EconoTrade
2017,ELECTRONICS-FEELING,ELECTRONICS,463.7,62,GlobalMart
2018,ELECTRONICS-NATURE,ELECTRONICS,542.26,178,QuickLine
2019,HOME-HISTORY,CLOTHING,933.93,121,PrimeSource
2020,ELECTRONICS-SHARE,CLOTHING,375.83,98,SupplyHub
2021,CLOTHING-SKILL,OFFICE,835.41,200,Topdeal
2022,HOME-ECONOMY,ELECTRONICS,671.18,84,GlobalMart
2023,HOME-YEAH,ELECTRONICS,939.54,77,EverPro
2024,CLOTHING-PAPER,HOME,124.27,162,SupplyHub
2025,ELECTRONICS-ASSUME,CLOTHING,279.62,59,PrimeSource
2026,CLOTHING-USE,HOME,211.56,205,EconoTrade
2027,HOME-PURPOSE,OFFICE,258.61,137,GlobalMart
2028,ELECTRONICS-TAKE,ELECTRONICS,637.94,88,Supplyhub
2029,HOME-YOURSELF,ELECTRONICS,13.51,74,QuickLine
2030,CLOTHING-FIRST,HOME,169.97,190,GlobalMart
2031,OFFICE-DEVELOP,OFFICE,565.3,110,EverPro
2032,ELECTRONICS-THERE,ELECTRONICS,945.6,95,PrimeSource
2033,CLOTHING-ARGUE,ELECTRONICS,836.25,48,EconoTrade
2034,CLOTHING-FEEL,OFFICE,136.17,160,QuickLine
2035,HOME-ACCORDING,HOME,899.99,71,TopDeal
2036,ELECTRONICS-CANDIDATE,HOME,217.98,125,GlobalMart
2037,CLOTHING-MEETING,ELECTRONICS,360.14,142,Everpro
2038,OFFICE-SOON,CLOTHING,926.51,66,PrimeSource
2039,CLOTHING-NEED,CLOTHING,976.44,180,SupplyHub
2040,CLOTHING-DETERMINE,OFFICE,34.54,97,GlobalMart
2041,HOME-ASSUME,OFFICE,804.21,134,Topdeal
2042,CLOTHING-LAWYER,HOME,167.61,55,EconoTrade
2043,ELECTRONICS-PRACTICE,OFFICE,873.45,211,GlobalMart
2044,OFFICE-SOCIETY,CLOTHING,207.58,72,PrimeSource
2045,OFFICE-NEXT,HOME,312.14,119,EverPro
2046,CLOTHING-WORRY,CLOTHING,33.43,185,SupplyHub
2047,CLOTHING-HAIR,OFFICE,334.98,101,QuickLine
2048,ELECTRONICS-CANDIDATE,HOME,357.63,163,GlobalMart
2049,OFFICE-EASY,HOME,939.84,79,TopDeal
2050,ELECTRONICS-YOUNG,HOME,186.78,53,Supplyhub
2051,HOME-CENTURY,ELECTRONICS,117.32,190,EverPro
2052,OFFICE-YEAR,HOME,731.26,84,GlobalMart
2053,HOME-GROUND,OFFICE,610.15,135,EconoTrade
2054,ELECTRONICS-ABOVE,OFFICE,900.51,99,QuickLine
2055,CLOTHING-POLITICS,HOME,53.94,142,GlobalMart
2056,OFFICE-ABOUT,ELECTRONICS,524.72,74,EverPro
2057,CLOTHING-IDENTIFY,HOME,436.98,117,SupplyHub
2058,HOME-WEAR,HOME,666.75,68,Topdeal
2059,ELECTRONICS-CLEAR,HOME,512.05,195,GlobalMart
2060,OFFICE-TERM,HOME,408.38,56,EconoTrade
2061,HOME-QUITE,CLOTHING,199.92,143,PrimeSource
2062,OFFICE-RECEIVE,CLOTHING,619.36,89,QuickLine
2063,HOME-GOOD,OFFICE,552.46,155,EverPro
2064,ELECTRONICS-STOP,HOME,294.04,77,GlobalMart
2065,OFFICE-ANIMAL,HOME,470.34,210,SupplyHub
2066,OFFICE-OCCUR,CLOTHING,516.06,94,EconoTrade
2067,CLOTHING-REMAIN,ELECTRONICS,290.95,59,TopDeal
2068,HOME-READ,ELECTRONICS,820.24,180,Quickline
2069,CLOTHING-GARDEN,HOME,232.39,104,GlobalMart
2070,CLOTHING-ABOUT,CLOTHING,34.18,68,PrimeSource
2071,CLOTHING-SUCCESS,OFFICE,615.16,129,SupplyHub
2072,ELECTRONICS-BECOME,OFFICE,420.3,115,Everpro
2073,CLOTHING-EXECUTIVE,OFFICE,499.43,86,TopDeal
2074,CLOTHING-STRONG,CLOTHING,659.5,164,GlobalMart
2075,ELECTRONICS-LETTER,ELECTRONICS,780.64,93,SupplyHub
2076,CLOTHING-AFFECT,CLOTHING,806.07,100,EconoTrade
2077,OFFICE-BALL,ELECTRONICS,561.83,178,PrimeSource
2078,ELECTRONICS-FILM,OFFICE,142.01,79,GlobalMart
2079,OFFICE-WHO,HOME,950.54,121,QuickLine
2080,OFFICE-DOCTOR,OFFICE,832.26,139,EverPro
2081,OFFICE-LIGHT,CLOTHING,746.22,66,Supplyhub
2082,OFFICE-FIGURE,OFFICE,266.6,185,GlobalMart
2083,CLOTHING-CUT,HOME,768.16,56,EconoTrade
2084,OFFICE-STUFF,CLOTHING,281.85,112,TopDeal
2085,ELECTRONICS-OFFICER,HOME,242.15,101,QuickLine
2086,HOME-OF,HOME,894.1,190,PrimeSource
2087,ELECTRONICS-RATHER,CLOTHING,159.32,134,EverPro
2088,OFFICE-EVENING,CLOTHING,709.35,73,GlobalMart
2089,ELECTRONICS-ACTION,OFFICE,413.52,87,SupplyHub
2090,OFFICE-STAFF,OFFICE,71.64,120,EconoTrade
2091,OFFICE-MRS,OFFICE,905.79,176,Topdeal
2092,ELECTRONICS-ADD,OFFICE,482.21,61,GlobalMart
2093,HOME-REAL,HOME,755.94,105,QuickLine
2094,OFFICE-FIGHT,CLOTHING,493.35,99,EverPro
2095,HOME-SEEM,OFFICE,490.79,142,SupplyHub
2096,OFFICE-DISCUSS,HOME,672.18,65,GlobalMart
2097,OFFICE-RECENT,CLOTHING,842.1,123,PrimeSource
2098,CLOTHING-TROUBLE,ELECTRONICS,907.86,158,TopDeal
2099,ELECTRONICS-SEVERAL,ELECTRONICS,646.32,80,Supplyhub
